LamaUsaha,Pekerja,Omzet,JumlahAset,HasilKeputusan
2,14,3,2,TUNDA
6,7,5,4,TIDAK
4,16,1,10,TUNDA
2,9,2,2,TUNDA
1,9,5,4,TUNDA
3,22,2,1,TUNDA
4,14,2,3,TIDAK
5,1,3,2,YA
6,1,2,3,YA
7,13,5,10,TIDAK
4,3,3,6,YA
0,15,3,6,TIDAK
7,15,3,8,YA
2,26,1,8,TIDAK
5,23,3,10,TUNDA
3,18,5,7,TUNDA
7,20,3,6,YA
3,2,2,9,TIDAK
6,16,5,7,YA
0,24,3,1,YA
2,18,1,8,TIDAK
0,5,2,5,TUNDA
3,10,1,1,TUNDA
3,25,4,6,TIDAK
2,4,1,1,TIDAK
7,30,1,3,YA
6,3,4,7,TIDAK
5,19,5,2,YA
4,25,2,4,YA
3,3,2,4,TUNDA
7,19,5,3,TUNDA
1,24,5,7,YA
4,20,4,1,YA
2,12,4,4,TIDAK
7,29,5,2,YA
5,3,1,2,YA
5,6,1,6,TIDAK
4,23,5,6,TIDAK
7,17,2,7,TUNDA
4,1,21,28,TIDAK
4,1,2,8,YA
7,10,5,4,TIDAK
1,30,1,6,TUNDA
5,8,5,3,TIDAK
2,26,2,9,YA
